tepu	ʈ ɛ p ʉː
aparichchhedya	a p ə ɹ ɪ tʃ tʃ h ɛ ɖ ə
dogam	ɖ ɒ ɡ ə m
maayanga	m ɑː ɑː ŋ ə
irfaan	ɪ f a ə n
dalvin	ɖ a l ʋ ɪ n
paarbrahm	p a ɑ b ɹ ɑː m
qadir	k ə ɖ ɪ ə
neranjini	n ɜː ɑː n dʒ i ɲ i
rithishana	ɹ iː t̪ ɪ ʃ ɑː n ə
vishvabhavana	ʋ ɪ ʃ ʋ ə b h ə ʋ a n ə
swatik	s ʋ ɑː ʈʲ i k
shenbagamoorthy	ʃ ɛ ɲ b a ɡ ə m ʊ ə t̪ i
saipraven	s aj p ɹ eː ʋ ə n
purushottam	pʲ ʊ ɹ ə ʃ ɒ ʈ a m
baseera	b eː s iː ɹ ə
hailo	ç eː l oː
evalynne	ɪ ʋ a ʎ ɪ n
brylen	b ɹ aj l ə n
shahir	ʃ ɑː ç i
sukran	s ʉː k ɹ ə n
fisher	fʲ ɪ ʃ ə
maffuz	m a fʲ ʉː z
sehan	s ɛ h ɑː n
pradhiksan	p ɹ ɑː ɖ ç ɪ k s ə n
amritahara	a m ɹ aj ʈ ə h ɑː ɹ ə
tungeshwar	ʈ ə ŋ ɛ ʃ ʋ ə
zoila	z oː ɪ l ə
rismeka	ɹ ɪ s m ɛ k ə
yuritzy	j ʊ ɹ ɪ ʈ s i
kaviyaselvi	k ɑː ʋ i aj a s ɛ l ʋ ɪ
mahatej	m ə h ɑː ʈʲ ɪ dʒ
briyelle	b ɹ ɪ j ɛ l
janhvi	dʒ a ɲ ʋ i
arvika	ɑː ʋ ɪ k ə
sakithian	s a c ɪ t̪ i ə n
ksindhuja	k s aj n ɖ h ʉː dʒ ə
diora	ɖ aj ə ɹ ə
tripuratmika	ʈ ɹ ɪ p ʉː ɹ ɑː ʈ mʲ iː k ə
zumar	z ʉ m ɑː
tracen	ʈ ɹ ə s ə n
lakshiha	l ə c ʃ iː ə
liveri	ʎ ɪ ʋ ə ɹ i
marlini	m ɑː ʎ iː ɲ i
hrasin	ɹ ə s ɪ n
bhoopendra	b oː oː p ɛ n ɖ ɹ ə
balavel	b a l ə ʋ ə l
yarunthisha	j a ɹ ə n t̪ ʃ ə
rashard	ɹ a ʃ ɑː ɖ
gajamuha	ɡ a dʒ a mʲ ʉː ə
vithushan	ʋ ɪ ʈ ʊ ʃ ɑː n
mylea	m aj ʎ ɪ ə
avandhika	a ʋ ə n ɖ i k ə
keisho	c iː ʃ oː
helalila	h ɛ l ə l aj l ə
chithesh	tʃ ɪ t̪ ɛ ʃ
limca	ʎ ɪ m k ə
tyrique	ʈ ɪ ɹ ɪ k
casius	k a z ɪ ə s
susiddhida	s ʉː ʃ iː d̪ aj ɖ ə
aashish	ɑː ʃ ɪ ʃ
anbukarasi	a n b ə k ɑː ɹ ə s i
panchavakta	p a ɲ k ʋ a k ʈ ə
jitvar	dʒ ɪ ʋ ɑː
pelia	p iː ʎ i ə
kshiranayak	c ʃ ɜː ə n ɑː j a k
saarika	s a ɹ ɪ k ə
nimosha	ɲ ɪ m oː ʃ ə
kambugala	k a m bʲ ə ɡ ɑː l ə
olex	oː l ɛ k s
ugajith	j ʉː ɡ ə dʒ ɪ t̪
punitharasan	p ə ɲ ɪ t̪ ə ɹ ɑː s ə n
gothavari	ɡ ɒ t̪ ə ʋ ɑː ɹ i
prakrithi	p ɹ ɑː c ɹ ɪ t̪ i
marcello	m ɑː tʃ ɛ l oː
dilejan	ɖ aj l ɛ dʒ ə n
kunjapriya	k ʊ n dʒ ə p ɹ iː ə
vinuvishal	ʋ aj ɲ ʉː ʋ ɪ ʃ ə l
panju	p a n dʒ ə
guadalupe	ɡʷ ɑː ɖ ə l ʉː p
nuwan	ɲ ʉː ʋ ɑː n
bobbie	b ɒ bʲ i
onnika	ɒ n ɲ ɪ k ə
harinisri	h ə ɹ ɪ ɲ ɪ s ɹ i
tynan	ʈ aj n ə n
sankeerthana	s a ɲ c ə ʈ ɑː n ə
aliannah	eː ʎ i a n ə
jenipa	dʒ ɛ ɲ iː p ə
sarala	s a ɹ ə l ə
nishthavant	ɲ ɪ ʃ ʈ ɑː ʋ ə n ʈ
rosendo	ɹ oː z ə n ɖ oː
mairen	m ɛː ə n
aerolynn	ɛː ɹ ə ʎ ɪ n
dilraaj	ɖ aj ʎ ɹ ɑː dʒ
danushram	ɖ a ɲ ʉː ʃ ɹ a m
thayalingam	t̪ eː ə ʎ ɪ ŋ ə m
vedhiga	ʋ ɪ ɖ ç ɪ ɡ ə
peralaki	p ɹ ɑː l ɑ c i
eaellisaichelvi	iː ɛ ʎ ɪ z eː k ə l ʋ i
renuva	ɹ ɛ n ə ʋ ə
kamila	k a mʲ ɪ l ə
janooshan	dʒ a ɲ ʉ ʃ ɑː n
julianny	dʒ ʉː ʎ i a ɲ i
mandothi	m a n ɖ ə t̪ i
spna	s p n ə
manasareddy	m a n ə z ɑː ɹ ɛ ɖ i
minmini	mʲ ɪ n mʲ ɪ ɲ iː
ebba	ɛ b ə
kirtiman	k ɜː ʈ m ə n
aksala	ɑː k s ɑː l ə
vikramy	ʋ ɪ k ɹ ə mʲ i
tyland	ʈ ɪ l ə n ɖ
tharankini	ʈ ɹ a n c iː ɲ i
aadita	eː eː ɖ ɪ ʈ ə
saptasaptaye	s a p ʈ ə s a p ʈ ə i
vinahast	ʋ ɪ n ə h ɑː s ʈ
solana	s oː l ɑː n ə
deaire	ɖ ɛ ɛː
pirasanth	p ɪ ɹ ɑː s ə n t̪
dhanisha	ɖ a ɲ i ʃ ə
tamopaha	ʈ ə m ɒ p ə h ɑː
mahelet	m ə h ɛ l ə ʈ
ramanakanilaya	ɹ a m ə n ə k ə ɲ ɪ l ə j ə
shgita	ʃ dʒ ɪ ʈ ə
ajat	ə dʒ a ʈ
marai	m ə ɹ aj
nathumeera	ɲ eː t̪ ʊ mʲ iː ɹ ə
vasyase	ʋ a s aj ə s
jeevathasan	dʒ iː ʋ ə t̪ eː s ə n
rbhag	ɹ b h ɑː ɡ
padnuni	p a ɖ n ʊ ɲ i
mushtikaraye	m ə ʃ ʈʲ ɪ k ə ɹ eː
jayatara	dʒ eː ə ʈ ɑː ɹ ə
reetikka	ɹ iː ʈ iː k ə
elilini	ɪ ʎ ɪ ʎ iː ɲ i
darelys	ɖ a ə l z
sachetase	s a ʃ eː eː z
jayvyn	dʒ eː ʋ ɪ n
jeyaseeli	dʒ ɛ j ə s iː ʎ i
shraven	ʃ ɹ a ʋ ə n
bhikshakara	bʲ ɪ c ʃ ɑː k ɑː ɹ ə
sanjali	s a n dʒ eː ʎ i
aadhyatm	ɑː ɖ ə ʈ m
vishnubhakta	ʋ ɪ ʃ n ʉ b ɑː k ʈ ə
sudurvach	s ə ɖ ɜː ʋ ə tʃ
vithruja	ʋ aj t̪ ɹ ʉː dʒ ə
muhmad	m ə m ə ɖ
hridgriha	h ɹ ɪ dʒ ɪ ɹ ɪ ə
theerahan	t̪ iː ɹ ə h ɑː n
neelavathi	ɲ iː l ə ʋ ɑː t̪ i
aaraf	eː eː ɹ a f
eyamban	aj a m b ə n
vinusha	ʋ aj ɲ ʊ ʃ ə
kanjanen	k a n dʒ a ɲ ɪ n
bhavendran	b a ʋ n ɖ ə n
svaparakshaya	s ʋ ə p a ɹ ə c ʃ aj ə
talastala	ʈ a l ə s ʈ a l ə
woodson	ʋ ʊ ɖ s ə n
venkat	ʋ ɛ ŋ k a ʈ
niraashan	n aj ɹ ə a ʃ ɑː n
thanushasri	t̪ ə n ʊ ʃ ɑː s ɹ i
rennata	ɹ ɛ n ə ʈ ə
bhavyasana	b a ʋ ɑː s ə n ə
jeyanthini	dʒ ɛ aj a n t̪ iː ɲ i
davishen	ɖ eː ʋ ɪ ʃ ə n
thuvarahan	t̪ ə ʋ ə ɹ ə h ɑː n
